"sequence_number"|"sale_ndc11"|"sale_ndc11_clean"|"sale_proprietary_name"|"sale_labeler"|"start_date"|"end_date"|"sale_gtin"|"sale_last_update"|"use_ndc11"|"no_use_ndc"|"use_gtin"|"use_last_update"|"cvx_code"|"cvx_description"|"mvx_code"
"102"|"33332-0519-25"|"33332051925"|"Influenza A"|"CSL Limited"|"07/01/2009"|"06/30/2010"|""|"01/29/2018"|"33332-0519-25"|"True"|""|"01/29/2018"|"126"|"Novel influenza-H1N1-09, preservative-free"|"CSL"
"103"|"33332-0629-10"|"33332062910"|"Influenza A"|"CSL Limited"|"07/01/2009"|"06/30/2010"|""|"01/29/2018"|"33332-0629-10"|"True"|""|"01/29/2018"|"127"|"Novel influenza-H1N1-09"|"CSL"
"104"|"42515-0001-01"|"42515000101"|"IXIARO"|"Valneva Scotland Ltd."|"03/30/2009"|"10/04/2019"|""|"10/15/2019"|"42515-0001-00"|"False"|""|"01/27/2014"|"134"|"Japanese Encephalitis IM"|"VAL"
"105"|"42515-0001-01"|"42515000101"|"IXIARO"|"Valneva Scotland Ltd."|"03/30/2009"|"10/04/2019"|""|"10/15/2019"|"42515-0001-00"|"False"|""|"01/27/2014"|"134"|"Japanese Encephalitis IM"|"INT"
"106"|"42515-0001-01"|"42515000101"|"IXIARO"|"Valneva Scotland Ltd."|"03/30/2009"|"10/04/2019"|""|"10/15/2019"|"42515-0001-01"|"True"|""|"10/15/2019"|"134"|"Japanese Encephalitis IM"|"VAL"
"107"|"42515-0001-01"|"42515000101"|"IXIARO"|"Valneva Scotland Ltd."|"03/30/2009"|"10/04/2019"|""|"10/15/2019"|"42515-0001-01"|"True"|""|"10/15/2019"|"134"|"Japanese Encephalitis IM"|"INT"
"108"|"42515-0002-01"|"42515000201"|"IXIARO"|"Valneva Scotland Ltd."|"03/30/2009"|""|""|"07/12/2018"|"42515-0002-01"|"True"|""|"04/06/2018"|"134"|"Japanese Encephalitis IM"|"VAL"
"109"|"42874-0012-10"|"42874001210"|"Flublok"|"Protein Sciences Corporation"|"02/01/2013"|"06/30/2013"|""|"10/08/2019"|"42874-0012-01"|"False"|""|"10/08/2019"|"155"|"influenza, recombinant, injectable, preservative free"|"PSC"
"110"|"42874-0013-10"|"42874001310"|"Flublok"|"Protein Sciences Corporation"|"11/01/2013"|"06/30/2014"|""|"10/08/2019"|"42874-0013-01"|"False"|""|"10/08/2019"|"155"|"influenza, recombinant, injectable, preservative free"|"PSC"
"111"|"42874-0014-10"|"42874001410"|"Flublok"|"Protein Sciences Corporation"|"09/15/2014"|"06/30/2015"|""|"10/08/2019"|"42874-0014-01"|"False"|""|"10/08/2019"|"155"|"influenza, recombinant, injectable, preservative free"|"PSC"
"112"|"42874-0015-10"|"42874001510"|"Flublok"|"Protein Sciences Corporation"|"08/07/2015"|"06/30/2016"|""|"10/08/2019"|"42874-0015-01"|"False"|""|"10/08/2019"|"155"|"influenza, recombinant, injectable, preservative free"|"PSC"
"113"|"42874-0016-10"|"42874001610"|"Flublok"|"Protein Sciences Corporation"|"08/01/2016"|"06/30/2017"|""|"10/08/2019"|"42874-0016-01"|"False"|""|"10/08/2019"|"155"|"influenza, recombinant, injectable, preservative free"|"PSC"
"114"|"42874-0017-10"|"42874001710"|"Flublok"|"Protein Sciences Corporation"|"07/14/2017"|"06/30/2018"|""|"10/08/2019"|"42874-0017-01"|"False"|""|"10/08/2019"|"155"|"influenza, recombinant, injectable, preservative free"|"PSC"
"115"|"42874-0117-10"|"42874011710"|"Flublok Quadrivalent"|"Protein Sciences Corporation"|"07/14/2017"|"06/30/2018"|""|"07/09/2018"|"42874-0117-01"|"False"|""|"07/09/2018"|"185"|"influenza, recombinant, quadrivalent,injectable, preservative free"|"PSC"
"116"|"43528-0002-05"|"43528000205"|"HEPLISAV-B"|"Dynavax Technologies Corporation"|"01/01/2018"|"12/20/2019"|"00343528002058"|"01/21/2020"|"43528-0002-01"|"False"|"00343528002010"|"01/21/2020"|"189"|"HepB-CpG"|"DVX"
"117"|"43528-0003-05"|"43528000305"|"HEPLISAV-B"|"Dynavax Technologies Corporation"|"01/01/2018"|""|"00343528003055"|"08/07/2018"|"43528-0003-01"|"False"|"00343528003017"|"05/06/2019"|"189"|"HepB-CpG"|"DVX"
"118"|"46028-0114-01"|"46028011401"|"Bexsero"|"Novartis Vaccines and Diagnostics SRL"|"01/23/2015"|"10/31/2017"|""|"05/30/2018"|"46028-0114-11"|"False"|""|"05/30/2018"|"163"|"meningococcal B, OMV"|"NOV"
"119"|"46028-0114-02"|"46028011402"|"Bexsero"|"Novartis Vaccines and Diagnostics SRL"|"01/23/2015"|"10/31/2017"|""|"05/30/2018"|"46028-0114-11"|"False"|""|"05/30/2018"|"163"|"meningococcal B, OMV"|"NOV"
"120"|"46028-0208-01"|"46028020801"|"Menveo"|"Novartis Vaccines and Diagnostics s.r.l."|"02/19/2010"|"04/30/2018"|""|"05/15/2018"|"46028-0219-11"|"False"|"00346028219117"|"05/16/2018"|"136"|"Meningococcal MCV4O"|"NOV"
"121"|"46028-0208-01"|"46028020801"|"Menveo"|"Novartis Vaccines and Diagnostics s.r.l."|"02/19/2010"|"04/30/2018"|""|"05/15/2018"|"46028-0218-11"|"False"|"00346028218110"|"05/16/2018"|"136"|"Meningococcal MCV4O"|"NOV"
"122"|"49281-0010-10"|"49281001010"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/23/2010"|"06/30/2011"|""|"01/29/2018"|"49281-0010-10"|"True"|"00349281010101"|"07/04/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"123"|"49281-0010-25"|"49281001025"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/23/2010"|"06/30/2011"|""|"01/29/2018"|"49281-0010-25"|"True"|"00349281010255"|"09/19/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"124"|"49281-0010-50"|"49281001050"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/23/2010"|"06/30/2011"|""|"01/29/2018"|"49281-0010-50"|"True"|"00349281010507"|"07/04/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"125"|"49281-0011-10"|"49281001110"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/01/2011"|"06/30/2012"|""|"01/29/2018"|"49281-0011-10"|"True"|"00349281011108"|"02/13/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"126"|"49281-0011-50"|"49281001150"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/01/2011"|"06/30/2012"|""|"01/29/2018"|"49281-0011-50"|"True"|"00349281011504"|"01/29/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"127"|"49281-0012-10"|"49281001210"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/02/2012"|"06/30/2013"|""|"12/07/2017"|"49281-0012-10"|"True"|"00349281012105"|"07/04/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"128"|"49281-0012-50"|"49281001250"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/02/2012"|"06/30/2013"|""|"12/07/2017"|"49281-0012-50"|"True"|"00349281012501"|"11/20/2017"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"129"|"49281-0013-10"|"49281001310"|"FLUZONE"|"Sanofi Pasteur Inc."|"06/28/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0013-58"|"False"|"00349281013584"|"11/20/2017"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"130"|"49281-0013-50"|"49281001350"|"FLUZONE"|"Sanofi Pasteur Inc."|"06/28/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0013-88"|"False"|"00349281013881"|"11/20/2017"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"131"|"49281-0014-50"|"49281001450"|"FLUZONE"|"Sanofi Pasteur Inc."|"06/27/2014"|"06/30/2015"|""|"07/06/2018"|"49281-0014-88"|"False"|"00349281014888"|"07/04/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"132"|"49281-0111-25"|"49281011125"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/01/2011"|"06/30/2012"|""|"01/29/2018"|"49281-0111-25"|"True"|"00349281111259"|"07/04/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"133"|"49281-0112-25"|"49281011225"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/02/2012"|"06/30/2013"|""|"12/07/2017"|"49281-0112-25"|"True"|"00349281112256"|"07/04/2018"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"134"|"49281-0113-25"|"49281011325"|"FLUZONE"|"Sanofi Pasteur Inc."|"06/28/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0113-00"|"False"|"00349281113000"|"11/20/2017"|"140"|"Influenza, seasonal, injectable, preservative free"|"PMC"
"135"|"49281-0120-65"|"49281012065"|"FLUZONE High-Dose Quadrivalent Northern Hemisphere"|"Sanofi Pasteur Inc."|"11/01/2019"|"06/30/2021"|""|"07/06/2021"|"49281-0120-88"|"False"|""|"07/06/2021"|"197"|"influenza, high-dose, quadrivalent"|"PMC"
"136"|"49281-0121-65"|"49281012165"|"FLUZONE High-Dose Quadrivalent Northern Hemisphere"|"Sanofi Pasteur Inc."|"07/02/2021"|""|""|"07/22/2021"|"49281-0121-88"|"False"|""|"07/19/2021"|"197"|"influenza, high-dose, quadrivalent"|"PMC"
"137"|"49281-0181-25"|"49281018125"|"FLUZONE QUADRIVALENT SOUTHERN HEMISPHERE"|"Sanofi Pasteur Inc."|"09/30/2019"|"12/31/2020"|""|"04/01/2021"|"49281-0181-00"|"False"|""|"01/04/2021"|"200"|"influenza, Southern Hemisphere, pediatric, preservative free"|"PMC"
"138"|"49281-0182-25"|"49281018225"|"FLUZONE QUADRIVALENT SOUTHERN HEMISPHERE"|"Sanofi Pasteur Inc."|"02/04/2021"|""|""|"04/12/2021"|"49281-0182-00"|"False"|""|"03/30/2021"|"200"|"influenza, Southern Hemisphere, pediatric, preservative free"|"PMC"
"139"|"49281-0215-10"|"49281021510"|"TENIVAC"|"Sanofi Pasteur Inc."|"12/08/2010"|""|""|"07/13/2018"|"49281-0215-58"|"False"|"00349281215582"|"07/22/2015"|"113"|"Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed"|"PMC"
"140"|"49281-0215-15"|"49281021515"|"TENIVAC"|"Sanofi Pasteur Inc."|"12/08/2010"|""|""|"07/13/2018"|"49281-0215-88"|"False"|"00349281215889"|"07/22/2015"|"113"|"Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed"|"PMC"
"141"|"49281-0225-10"|"49281022510"|"DIPHTHERIA AND TETANUS TOXOIDS ADSORBED"|"Sanofi Pasteur Inc."|"03/29/2010"|""|""|"07/13/2018"|"49281-0225-58"|"False"|"00349281225581"|"11/20/2017"|"28"|"DT (pediatric)"|"PMC"
"142"|"49281-0250-51"|"49281025051"|"IMOVAX RABIES"|"Sanofi Pasteur Inc."|"09/30/2013"|""|""|"10/26/2020"|"49281-0248-58"|"False"|""|"10/26/2020"|"175"|"Rabies - IM Diploid cell culture"|"PMC"
"143"|"49281-0252-51"|"49281025251"|"IMOVAX RABIES"|"Sanofi Pasteur Inc."|"10/25/2019"|""|""|"01/22/2020"|"49281-0246-58"|"False"|""|"01/22/2020"|"175"|"Rabies - IM Diploid cell culture"|"PMC"
"144"|"49281-0278-10"|"49281027810"|"DIPHTHERIA AND TETANUS TOXOIDS ADSORBED"|"Sanofi Pasteur Inc."|"09/18/1984"|"03/18/2013"|""|"01/29/2018"|"49281-0278-10"|"True"|""|"01/29/2018"|"28"|"DT (pediatric)"|"PMC"
"145"|"49281-0286-01"|"49281028601"|"DAPTACEL"|"Sanofi Pasteur Inc."|"05/14/2002"|""|""|"07/13/2018"|"49281-0286-58"|"False"|"00349281286582"|"11/20/2017"|"106"|"DTaP, 5 pertussis antigens"|"PMC"
"146"|"49281-0286-05"|"49281028605"|"DAPTACEL"|"Sanofi Pasteur Inc."|"05/14/2002"|""|""|"07/13/2018"|"49281-0286-58"|"False"|"00349281286582"|"11/20/2017"|"106"|"DTaP, 5 pertussis antigens"|"PMC"
"147"|"49281-0286-10"|"49281028610"|"DAPTACEL"|"Sanofi Pasteur Inc."|"05/14/2002"|""|""|"07/13/2018"|"49281-0286-58"|"False"|"00349281286582"|"11/20/2017"|"106"|"DTaP, 5 pertussis antigens"|"PMC"
"148"|"49281-0291-10"|"49281029110"|"DECAVAC"|"Sanofi Pasteur Inc."|"03/24/2004"|"12/31/2012"|""|"05/30/2018"|"49281-0291-10"|"True"|""|"05/30/2018"|"113"|"Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed"|"PMC"
"149"|"49281-0291-83"|"49281029183"|"DECAVAC"|"Sanofi Pasteur Inc."|"03/24/2004"|"12/31/2012"|""|"05/30/2018"|"49281-0291-83"|"True"|""|"06/08/2018"|"113"|"Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed"|"PMC"
"150"|"49281-0298-10"|"49281029810"|"TRIPEDIA"|"Sanofi Pasteur Inc."|"08/20/1992"|"03/13/2013"|""|"01/29/2018"|"49281-0298-10"|"True"|""|"01/29/2018"|"20"|"DTaP"|"PMC"
"151"|"49281-0320-50"|"49281032050"|"FLUZONE QUADRIVALENT SOUTHERN HEMISPHERE"|"Sanofi Pasteur Inc."|"09/30/2019"|"12/31/2020"|""|"04/01/2021"|"49281-0320-88"|"False"|""|"01/04/2021"|"201"|"influenza, Southern Hemisphere, preservative free"|"PMC"
"152"|"49281-0321-50"|"49281032150"|"FLUZONE QUADRIVALENT SOUTHERN HEMISPHERE"|"Sanofi Pasteur Inc."|"02/04/2021"|""|""|"04/01/2021"|"49281-0321-88"|"False"|""|"03/30/2021"|"201"|"influenza, Southern Hemisphere, preservative free"|"PMC"
"153"|"49281-0336-15"|"49281033615"|"FLUZONE QUADRIVALENT SOUTHERN HEMISPHERE"|"Sanofi Pasteur Inc."|"09/30/2019"|"12/31/2020"|""|"04/01/2021"|"49281-0336-78"|"False"|""|"01/04/2021"|"202"|"influenza, Southern Hemisphere, quadrivalent, with preservative"|"PMC"
"154"|"49281-0337-15"|"49281033715"|"FLUZONE QUADRIVALENT SOUTHERN HEMISPHERE"|"Sanofi Pasteur Inc."|"02/04/2021"|""|""|"04/01/2021"|"49281-0337-78"|"False"|""|"03/30/2021"|"202"|"influenza, Southern Hemisphere, quadrivalent, with preservative"|"PMC"
"155"|"49281-0386-15"|"49281038615"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/23/2010"|"06/30/2011"|""|"01/29/2018"|"49281-0386-15"|"True"|"00349281386152"|"07/04/2018"|"141"|"Influenza, seasonal, injectable"|"PMC"
"156"|"49281-0387-65"|"49281038765"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/23/2010"|"06/30/2011"|""|"01/29/2018"|"49281-0387-65"|"True"|"00349281387654"|"07/04/2018"|"135"|"Influenza, high dose seasonal"|"PMC"
"157"|"49281-0388-15"|"49281038815"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/01/2011"|"06/30/2012"|""|"01/29/2018"|"49281-0388-15"|"True"|"00349281388156"|"01/29/2018"|"141"|"Influenza, seasonal, injectable"|"PMC"
"158"|"49281-0389-65"|"49281038965"|"FLUZONE HIGH DOSE"|"Sanofi Pasteur Inc."|"07/01/2011"|"06/30/2012"|""|"02/27/2018"|"49281-0389-65"|"True"|"00349281389658"|"07/04/2018"|"135"|"Influenza, high dose seasonal"|"PMC"
"159"|"49281-0390-15"|"49281039015"|"FLUZONE"|"Sanofi Pasteur Inc."|"07/02/2012"|"06/30/2013"|""|"12/07/2017"|"49281-0390-15"|"True"|"00349281390159"|"07/04/2018"|"141"|"Influenza, seasonal, injectable"|"PMC"
"160"|"49281-0391-65"|"49281039165"|"FLUZONE High-Dose"|"Sanofi Pasteur Inc."|"07/02/2012"|"06/30/2013"|""|"12/07/2017"|"49281-0391-65"|"True"|"00349281391651"|"07/04/2018"|"135"|"Influenza, high dose seasonal"|"PMC"
"161"|"49281-0392-15"|"49281039215"|"FLUZONE"|"Sanofi Pasteur Inc."|"06/28/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0392-78"|"False"|"00349281392788"|"11/20/2017"|"141"|"Influenza, seasonal, injectable"|"PMC"
"162"|"49281-0393-65"|"49281039365"|"FLUZONE High-Dose"|"Sanofi Pasteur Inc."|"06/28/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0393-88"|"False"|"00349281393884"|"11/20/2017"|"135"|"Influenza, high dose seasonal"|"PMC"
"163"|"49281-0394-15"|"49281039415"|"FLUZONE"|"Sanofi Pasteur Inc."|"06/27/2014"|"06/30/2015"|""|"07/06/2018"|"49281-0394-78"|"False"|""|"07/04/2018"|"141"|"Influenza, seasonal, injectable"|"PMC"
"164"|"49281-0395-65"|"49281039565"|"FLUZONE High-Dose"|"Sanofi Pasteur Inc."|"06/27/2014"|"06/30/2015"|""|"06/27/2018"|"49281-0395-88"|"False"|""|"07/04/2018"|"135"|"Influenza, high dose seasonal"|"PMC"
"165"|"49281-0396-15"|"49281039615"|"FLUZONE"|"Sanofi Pasteur Inc."|"06/26/2015"|"06/30/2016"|""|"12/07/2017"|"49281-0396-78"|"False"|"00349281396786"|"11/20/2017"|"141"|"Influenza, seasonal, injectable"|"PMC"
"166"|"49281-0397-65"|"49281039765"|"FLUZONE High-Dose"|"Sanofi Pasteur Inc."|"06/26/2015"|"06/30/2016"|""|"12/07/2017"|"49281-0397-88"|"False"|"00349281397882"|"11/20/2017"|"135"|"Influenza, high dose seasonal"|"PMC"
"167"|"49281-0399-65"|"49281039965"|"FLUZONE High-Dose"|"Sanofi Pasteur Inc."|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"49281-0399-88"|"False"|""|"05/30/2018"|"135"|"Influenza, high dose seasonal"|"PMC"
"168"|"49281-0400-05"|"49281040005"|"Adacel"|"Sanofi Pasteur Inc."|"06/10/2005"|""|""|"12/29/2020"|"49281-0400-58"|"False"|"00349281400582"|"02/03/2021"|"115"|"Tdap"|"PMC"
"169"|"49281-0400-10"|"49281040010"|"Adacel"|"Sanofi Pasteur Inc."|"06/10/2005"|""|""|"12/29/2020"|"49281-0400-58"|"False"|"00349281400582"|"02/03/2021"|"115"|"Tdap"|"PMC"
"170"|"49281-0400-15"|"49281040015"|"Adacel"|"Sanofi Pasteur Inc."|"10/01/2013"|"01/20/2021"|""|"01/28/2021"|"49281-0400-88"|"False"|"00349281400889"|"01/25/2021"|"115"|"Tdap"|"PMC"
"171"|"49281-0400-20"|"49281040020"|"Adacel"|"Sanofi Pasteur Inc."|"06/10/2005"|""|""|"12/29/2020"|"49281-0400-89"|"False"|"00349281400896"|"07/11/2018"|"115"|"Tdap"|"PMC"
"172"|"49281-0401-65"|"49281040165"|"FLUZONE High-Dose"|"Sanofi Pasteur Inc."|"07/01/2017"|"06/30/2018"|""|"07/09/2018"|"49281-0401-88"|"False"|""|"07/09/2018"|"135"|"Influenza, high dose seasonal"|"PMC"
"173"|"49281-0403-65"|"49281040365"|"FLUZONE High-Dose"|"Sanofi Pasteur Inc."|"06/29/2018"|"06/30/2019"|""|"07/16/2019"|"49281-0403-88"|"False"|"00349281403880"|"07/16/2019"|"135"|"Influenza, high dose seasonal"|"PMC"
"174"|"49281-0405-65"|"49281040565"|"FLUZONE High-Dose"|"Sanofi Pasteur Inc."|"07/01/2019"|"06/30/2020"|""|"07/14/2020"|"49281-0405-88"|"False"|"00349281405884"|"07/13/2020"|"135"|"Influenza, high dose seasonal"|"PMC"
"175"|"49281-0413-10"|"49281041310"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/10/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0413-58"|"False"|"00349281413582"|"11/20/2017"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"176"|"49281-0413-50"|"49281041350"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/10/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0413-88"|"False"|"00349281413889"|"11/20/2017"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"177"|"49281-0414-10"|"49281041410"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/27/2014"|"06/30/2015"|""|"07/13/2018"|"49281-0414-58"|"False"|"00349281414589"|"07/05/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"178"|"49281-0414-50"|"49281041450"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/27/2014"|"06/30/2015"|""|"07/12/2018"|"49281-0414-88"|"False"|"00349281414886"|"07/05/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"179"|"49281-0415-10"|"49281041510"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/26/2015"|"06/30/2016"|""|"07/12/2018"|"49281-0415-58"|"False"|"00349281415586"|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"180"|"49281-0416-10"|"49281041610"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"49281-0416-58"|"False"|""|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"181"|"49281-0416-50"|"49281041650"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"49281-0416-88"|"False"|""|"05/30/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"182"|"49281-0417-10"|"49281041710"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2017"|"06/30/2018"|""|"07/13/2018"|"49281-0417-58"|"False"|"00349281417580"|"07/09/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"183"|"49281-0417-50"|"49281041750"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2017"|"06/30/2018"|""|"07/13/2018"|"49281-0417-88"|"False"|"00349281417887"|"07/09/2018"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"184"|"49281-0418-10"|"49281041810"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/29/2018"|"06/30/2019"|""|"07/16/2019"|"49281-0418-58"|"False"|"00349281418587"|"07/16/2019"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"185"|"49281-0418-50"|"49281041850"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/29/2018"|"06/30/2019"|""|"07/16/2019"|"49281-0418-88"|"False"|"00349281418884"|"07/17/2019"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"186"|"49281-0419-10"|"49281041910"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2019"|"06/30/2020"|""|"07/14/2020"|"49281-0419-58"|"False"|"00349281419584"|"07/14/2020"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"187"|"49281-0419-50"|"49281041950"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2019"|"06/30/2020"|""|"07/14/2020"|"49281-0419-88"|"False"|"00349281419881"|"07/13/2020"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"188"|"49281-0420-10"|"49281042010"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2020"|"06/30/2021"|""|"07/06/2021"|"49281-0420-58"|"False"|""|"07/06/2021"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"189"|"49281-0420-50"|"49281042050"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2020"|"06/30/2021"|""|"07/06/2021"|"49281-0420-88"|"False"|""|"07/06/2021"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"190"|"49281-0421-10"|"49281042110"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2021"|""|""|"07/19/2021"|"49281-0421-58"|"False"|""|"07/19/2021"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"191"|"49281-0421-50"|"49281042150"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/02/2021"|""|""|"07/19/2021"|"49281-0421-88"|"False"|""|"07/19/2021"|"150"|"influenza, injectable, quadrivalent, preservative free"|"PMC"
"192"|"49281-0489-01"|"49281048901"|"MENOMUNE - A/C/Y/W-135 COMBINED"|"Sanofi Pasteur Inc."|"11/23/1981"|"04/30/2019"|""|"05/29/2019"|"49281-0487-58"|"False"|"00349281487583"|"05/21/2019"|"32"|"meningococcal MPSV4"|"PMC"
"193"|"49281-0489-91"|"49281048991"|"MENOMUNE - A/C/Y/W-135 COMBINED"|"Sanofi Pasteur Inc."|"11/23/1981"|"09/30/2017"|""|"07/12/2018"|"49281-0488-78"|"False"|"00349281488788"|"05/21/2019"|"32"|"meningococcal MPSV4"|"PMC"
"194"|"49281-0510-05"|"49281051005"|"PENTACEL"|"Sanofi Pasteur Inc."|"06/20/2008"|""|""|"07/13/2018"|"49281-0560-05"|"False"|"00349281560057"|"11/20/2017"|"120"|"DTaP-Hib-IPV"|"PMC"
"195"|"49281-0510-05"|"49281051005"|"PENTACEL"|"Sanofi Pasteur Inc."|"06/20/2008"|""|""|"07/13/2018"|"49281-0545-15"|"False"|"00349281545153"|"08/22/2019"|"120"|"DTaP-Hib-IPV"|"PMC"
"196"|"49281-0510-05"|"49281051005"|"PENTACEL"|"Sanofi Pasteur Inc."|"06/20/2008"|""|""|"07/13/2018"|"49281-0548-58"|"False"|"00349281548581"|"08/22/2019"|"120"|"DTaP-Hib-IPV"|"PMC"
"197"|"49281-0511-05"|"49281051105"|"PENTACEL"|"Sanofi Pasteur Inc."|"01/01/2020"|""|""|"01/23/2020"|"49281-0561-01"|"False"|""|"01/23/2020"|"120"|"DTaP-Hib-IPV"|"PMC"
"198"|"49281-0511-05"|"49281051105"|"PENTACEL"|"Sanofi Pasteur Inc."|"01/01/2020"|""|""|"01/23/2020"|"49281-0544-58"|"False"|""|"01/23/2020"|"120"|"DTaP-Hib-IPV"|"PMC"
"199"|"49281-0513-25"|"49281051325"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/10/2013"|"06/30/2014"|""|"12/07/2017"|"49281-0513-00"|"False"|"00349281513008"|"11/20/2017"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"PMC"
"200"|"49281-0514-25"|"49281051425"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/27/2014"|"06/30/2015"|""|"07/13/2018"|"49281-0514-00"|"False"|"00349281514005"|"07/05/2018"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"PMC"
"201"|"49281-0516-25"|"49281051625"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2016"|"06/30/2017"|""|"07/11/2018"|"49281-0516-00"|"False"|""|"05/30/2018"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"PMC"
"202"|"49281-0517-25"|"49281051725"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"07/01/2017"|"06/30/2018"|""|"07/13/2018"|"49281-0517-00"|"False"|"00349281517006"|"07/09/2018"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"PMC"
"203"|"49281-0518-25"|"49281051825"|"FLUZONE QUADRIVALENT"|"Sanofi Pasteur Inc."|"06/29/2018"|"06/30/2019"|""|"07/16/2019"|"49281-0518-00"|"False"|"00349281518003"|"07/16/2019"|"161"|"Influenza, injectable,quadrivalent, preservative free, pediatric"|"PMC"
